How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Why or why not?.1,What is your age?,What is your gender?
100-500,1.0,Yes,I don't know,None did,I don't know,Possibly,Yes,Yes,6,Maybe,I am over 60 and would bring it up to assure them of my overall good physical health.,I wouldn't know them well enough to trust them with that information.,65.0,male
More than 1000,0.0,No,I don't know,None did,I don't know,Possibly,Possibly,I don't know,7,Maybe,Depends on if I thought it would affect my chances of getting the job.,It seems likely to reduce my chances of being offered the job.,34.0,Nonbinary/femme
100-500,1.0,I don't know,I don't know,Some did,I don't know,No,No,I don't know,5,No,"Because of my age I think I am already at a slight disadvantage when seeking employment. However - if the issue required treatment or monitoring that had to be explained, I would be honest.",Afraid of losing the opportunity,55.0,Female
More than 1000,1.0,No,I don't know,None did,Sometimes,Yes,Yes,Yes,10,No,Bias,Bias,33.0,Female
More than 1000,1.0,No,I don't know,Some did,I don't know,Yes,Yes,No,3,No,"Don't want to give them fodder to discriminate. Even if it's illegal, it's impossible to prove. ",Even more stigmatized than physical health issues. I don't want to give them a reason to rule me out. ,41.0,F
More than 1000,0.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,8,No,"Fear of showing any source of weakness in an interview. Unless it was directly obvious, I wouldn't focus on it.","There is still a stigma around mental health, so much that it's risky to disclose it to employers.",24.0,Female
100-500,0.0,No,I don't know,I don't know,I don't know,Possibly,No,Yes,4,No,"I would most like consider a personal health issue to be private, and would not share it with someone I didn’t know well. ","I would definitely consider a mental health issue to be private, and would not tell someone I didn’t know. ",27.0,Female
26-100,1.0,Yes,I don't know,None did,I don't know,Don't Know,No,No,6,Yes,Fear of discrimination,"I would be more confident bringing up the issue if there was low risk were I to not get the role (e.g. still happy in my current position, or the new position would not be a drastic career progression).",30.0,Male
100-500,1.0,Yes,Yes,Some did,I don't know,Yes,Yes,Yes,10,Maybe,"depends on the issue, honestly. if I had a terminal illness? probably not","it's likely to be a non-issue, and if it isn't, I don't want to work there",37.0,male
6-25,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,4,No,I'm a private person. Doing so would likely disadvantage me in getting the job.,"Same as physical, times 10.",61.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Don't Know,No,Yes,6,Maybe,Only when relevant for the job,"To be honest towards your future coworkers, they have to know what's happening so they can understand why things go in a specific way",45.0,M
More than 1000,1.0,No,I don't know,None did,No,Yes,Yes,Yes,7,Yes,No stigma,Stigma,29.0,Male
100-500,1.0,I don't know,I don't know,Some did,I don't know,Yes,Yes,Yes,10,Maybe,Because it may cause the potential employer to reject me in favor of an equally qualified candidate who does not have a health issue.,Because it may cause the potential employer to reject me in favor of an equally qualified candidate who does not have a health issue.,41.0,Male
26-100,1.0,No,I don't know,None did,I don't know,No,Possibly,No,7,No,Cos probably i woldn't got the job if I do,For the same,39.0,Male
500-1000,0.0,No,Yes,I don't know,I don't know,Yes,Yes,Yes,9,Maybe,"I don't want to be removed from the applicant pool for being a ""handful""",Mental health issues have more stigma of being untreatable or not being curable,30.0,Male
More than 1000,0.0,No,I don't know,None did,I don't know,No,No,Yes,1,No,It would negatively impact the outcome,It would negatively impact the outcome,46.0,Male
6-25,1.0,No,I don't know,None did,I don't know,Don't Know,No,Yes,6,No,It can be a handicap to be hired,I Will not be hired,42.0,Male
More than 1000,1.0,Yes,I don't know,Some did,I don't know,Yes,Yes,Yes,6,No,I'd rather have that conversation later in our working relationship,"Stigma is real, and again, I'd rather have that conversation later in our working relationship",29.0,Woman
More than 1000,1.0,Yes,No,None did,No,Yes,Yes,Yes,10,No,People perceive anxiety sufferers as unable to handle stress. I work brilliantly under pressure and handle stress as well as the next person. I would not give a interview the opportunity to reject me based off their bias,Stigma,34.0,Female
More than 1000,1.0,No,I don't know,Some did,Sometimes,Yes,Yes,I don't know,8,Yes,"Unavoidable, obvious",Discussion avoidable,52.0,Male
100-500,1.0,Yes,Yes,None did,I don't know,Possibly,Possibly,I don't know,7,No,"to not give any reason not to hire me, especially if it doesn't affect my ability to do the job","to not give any reason not to hire me, especially if it doesn't affect my ability to do the job",36.0,male
26-100,1.0,No,I don't know,None did,I don't know,No,No,No,3,Maybe,May result in me not getting the job,May result in not getting a job ,34.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,I don't know,6,No,"this is personal, I get paid by the work I do","to be fair, to see how he would handle it",50.0,male
More than 1000,1.0,No,I don't know,None did,No,Yes,Yes,Yes,1,Yes,So they could accommodate.,I would not get hired.,51.0,Male
26-100,1.0,No,Yes,Some did,I don't know,Possibly,Yes,No,2,Yes,Fear of discrimination,Stigma,35.0,Male
100-500,1.0,No,No,None did,I don't know,Yes,Yes,Yes,4,Yes,Fear of discrimination,Stigma,34.0,Male
26-100,1.0,Yes,I don't know,Some did,I don't know,Yes,Yes,Yes,7,Maybe,Fear of discrimination,Stigma,24.0,gender non-conforming woman
26-100,1.0,Yes,Yes,Some did,Sometimes,No,No,No,5,No,Fear of discrimination,Stigma,37.0,Male
26-100,0.0,No,I don't know,Some did,I don't know,Yes,Yes,Yes,0,No,"Unless it required frequent absence from work, I wouldn't bring it up.","It depends. If the position was remote I'd be fine, but in office 40hrs a week would present a challenge. It's difficult since I wouldn't bring it up to a stranger ie, the interviewer. But if I had known they would be like my current coworkers and boss are to me now, its possible i would have said something. Unlikely, but possible. ",24.0,Female 
1-5,1.0,No,I don't know,None did,"Yes, always",Possibly,Yes,I don't know,0,Maybe,Only if it's relevant to the position.,My mental health issues aren't my employer's business.,46.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Possibly,Possibly,I don't know,8,No,It doesn't seem relevant and there's always a chance it could sway the interview and they'd just blame it on something else.,Same as physical.,31.0,m
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,5,No,May impact employment. ,May impact employment. ,35.0,M
100-500,1.0,Yes,Yes,None did,"Yes, always",No,No,Yes,10,Yes,I am visually impaired.,There is still a stigma about mental health.,40.0,Male 
6-25,1.0,No,Yes,None did,I don't know,Yes,Yes,I don't know,10,Yes,no,no,28.0,male
6-25,1.0,No,I don't know,None did,I don't know,No,Possibly,Yes,5,Maybe,Embarrassing ,I wouldn't want it to impact my chances of getting the job,28.0,Male
100-500,0.0,No,Yes,None did,"Yes, always",Yes,Yes,Yes,8,No,Fear of discrimination,Stigma,39.0,Male
100-500,0.0,I don't know,I don't know,None did,"Yes, always",Yes,Possibly,I don't know,8,Yes,"If it mattered to the job, I'd bring it up immediately, to see how they react and best judge if it's some place I'd want to be.","Without knowing their stance, there's too much stigma around mental health issues.",31.0,Male
6-25,1.0,I don't know,I don't know,None did,I don't know,Possibly,Possibly,I don't know,7,Yes,Could interfere with job,Could interfere with job,27.0,Male
More than 1000,0.0,No,Yes,None did,"Yes, always",Yes,Yes,I don't know,10,No,It isn't the place to do so unless it directly impacts my ability to do the job,They don't need to know and I feel it could jeopardize my chances,35.0,Male
26-100,True,Yes,I don't know,Some did,I don't know,Yes,No,No,8,Yes,If it impacts work I would bring it up,If I feel it's under control I likely wouldn't bring it up for fear of adding something they would need to consider when hiring.,25.0,Male
26-100,True,No,Yes,Some did,"Yes, always",Yes,Possibly,Yes,7,No,I do not trust that the potential employer would remain unbiased in light of such information.,I do not trust that the potential employer would remain unbiased in light of such information.,51.0,male
26-100,True,No,I don't know,None did,I don't know,Yes,No,I don't know,4,Maybe,It depends on its applicability to my job and how detrimental it could be.,The stigma attached to mental health and not knowing the interviewers feelings on it could potentially affect my ability to obtain said job.,27.0,Male
100-500,True,Yes,Yes,Some did,"Yes, always",Yes,No,Yes,3,No,discrimination/bias,discrimination/bias,37.0,male
26-100,True,I don't know,I don't know,None did,I don't know,Yes,No,No,1,No,Fear of discrimination,Stigma,46.0,m
100-500,True,No,I don't know,Some did,I don't know,Yes,Yes,Yes,5,No,wouldn't want to risk not getting the job,wouldn't want to risk not getting the job,36.0,female
26-100,True,No,Yes,None did,I don't know,Yes,Yes,Yes,7,Yes,"Would, because it is a safety issue for me, to not disclose the information. Just awareness. ","I just would not because I don’t think it changes how I perform my job. Work still gets done, just might go about it differently if I’m having trouble. ",39.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,No,Yes,5,Maybe,"If it was a physical issue that would make me miss work regularly, I'd bring it up.  If it was something I could power through, no.",Too much stigma yet,35.0,Male
26-100,True,Yes,Yes,None did,I don't know,Yes,Yes,No,5,Maybe,Depends on who I was talking to,No knowledge of how supportive they are,49.0,Male
6-25,True,No,I don't know,None did,I don't know,Yes,Don't Know,I don't know,2,Maybe,Fear of discrimination,Stigma,45.0,Male
100-500,True,No,Yes,None did,I don't know,Yes,Possibly,No,5,Yes,Fear of discrimination,Stigma,40.0,M
More than 1000,1.0,No,I don't know,Some did,No,Yes,No,No,4,Yes,usually relatively simple to adjust to physical limitations with some tools.,most employers don't know how to handle such issues and mostly see obstacles and expect more sick time,37.0,male
More than 1000,True,No,Yes,None did,I don't know,Yes,Possibly,Yes,8,Maybe,"I feel like things not-relevant to my job would potentially not come up. It would depend. At the same time, it'd be pretty common place in an interview to say, ""I've been feeling ill lately"" or ""I recently broke my arm"" without thinking about it.",I would be worried it would affect how I am viewed in the interview and affect my candidacy for the position.,31.0,Male
500-1000,True,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,6,No,Fear of discrimination,Stigma,37.0,Male
100-500,True,Yes,I don't know,None did,No,Yes,Don't Know,No,2,Yes,Fear of discrimination,fear of discrimination,26.0,female
100-500,False,No,Yes,Some did,I don't know,Yes,Possibly,No,9,Maybe,"It depends on the circumstance--whether the health issue might have a reasonable impact on one's ability to succeed at the job, or not.","Mental health is still largely stigmatised. Unless the interviewer mentions his/her own struggles **first**, it's arguably too risky to bring up one's own issues in an interview setting even if they are a non-factor in one's ability to do the job offered.",43.0,M
100-500,True,Yes,Yes,Some did,Sometimes,Yes,Yes,Yes,9,Maybe,It depends on the issue. I would be worried that a serious issue would cost me a job. ,It could cost me a job. I'd rather conceal an issue and get a job that could help me get treatment than be honest and lose the job. ,35.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,No,Yes,1,Maybe,Fear of discrimination,Stigma,31.0,male
100-500,True,Yes,Yes,None did,No,Yes,Possibly,Yes,10,No,Too personal for an interview ,Too personal for an interview,32.0,F
More than 1000,True,Yes,I don't know,Some did,I don't know,Yes,Possibly,I don't know,7,No,Fear of discrimination,Stigma,37.0,Male
6-25,True,No,I don't know,None did,I don't know,Yes,Don't Know,I don't know,6,No,Fear of being judged less capable.,Fear of being judged less capable.,41.0,Male
100-500,True,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,8,No,"I strongly feel that this is neither anyone's right to know, nor business, if they have not hired me. ",same as above.,40.0,f
500-1000,True,No,Yes,Some did,"Yes, always",Yes,Yes,I don't know,8,Yes,"If they need to make accommodations, it's better to let them know what they need to prepare for ",I feel there is still a stigma around mental health which I feel will impact the decision to hire ,37.0,male
100-500,True,Yes,I don't know,None did,No,Yes,Yes,Yes,2,No,"Laws notwithstanding, it is nearly impossible to prove discrimination.","It's a competitive arena, especially if you want a job that pays a living wage.  When you're over 50, it's hard enough to get a job as it is.",53.0,"Let's keep it simple and say ""male"""
6-25,True,No,I don't know,None did,I don't know,Yes,Possibly,Yes,0,Yes,"Physical concerns are quantifiable and ""Wheelchair Ramps"" are a viable solution. With mental health issues the concerns are not quantifiable and viable solutions can't be generated by anyone besides the afflicted.",I don't want it to affect my evaluation vs other applicants.,29.0,male
500-1000,True,No,I don't know,None did,I don't know,Yes,Yes,Yes,10,Maybe,"Well, physical is weird. Might make them think i’ll Take a ton of sick days","I don’t know them that well and I assume everyone has some form of these issues in a creative job like ours
",37.0,Male
100-500,False,No,I don't know,Some did,I don't know,Yes,Yes,Yes,10,No,"It's not their business, especially if it doesn't affect my work.",It's not their business if it doesn't affect my work. And I wouldn't want it to affect my chances at getting hired.,45.0,female
6-25,True,No,I don't know,None did,I don't know,Yes,No,No,10,No,That would burn all bridges towards a job I'd really want,That would burn all bridges towards a job I'd really want,26.0,Male
100-500,True,Yes,I don't know,Some did,I don't know,Yes,Yes,Yes,8,Yes,"Because it probably won't affect my work, and if it does it will likely only do so temporarily.",Because I worry it would negatively affect my chances of getting the job.,28.0,Male
100-500,True,Yes,I don't know,None did,I don't know,Yes,Yes,I don't know,7,Yes,Physical issues are more widely accepted as reasons to be incapable of performing duties to their full extent. ,"Mental health issues have a much larger stigma around them that would negatively affect my chances at getting a job. Also as I can continue to function relatively normally with my issues, I can get away with not expressing them.",24.0,Female
100-500,True,No,I don't know,Some did,I don't know,Yes,Possibly,Yes,7,No,Fear of discrimination,Stigma,27.0,Male
100-500,False,No,I don't know,None did,I don't know,Yes,Yes,No,9,No,Only cross that bridge when it comes to you. Too much information ahead of time is not beneficial.,Same reasons as before. Only bring the information if required.,42.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,No,No,5,Maybe,Depends on the specific issue and its relevance to the job.,Depends on the issue and its relevance to the job.,53.0,Female
100-500,False,Yes,I don't know,None did,I don't know,Yes,Don't Know,No,4,Maybe,Fear of discrimination,I would be concerned it would affect my chances of a job,34.0,Male
500-1000,False,Yes,I don't know,None did,I don't know,Yes,Possibly,I don't know,5,Maybe,Fear of discrimination,Stigma,23.0,Non-binary
More than 1000,False,No,I don't know,None did,I don't know,Yes,No,I don't know,5,Maybe,If I thought it would be useful (to me) for them to know ahead of time.,If I thought it would be useful (to me) for them to know ahead of time.,34.0,M
6-25,True,No,Yes,Some did,"Yes, always",Yes,Possibly,Yes,5,Yes,Transparency is key.,Don't want them to think I'm crazy,27.0,Male
100-500,True,No,I don't know,None did,I don't know,Yes,Possibly,I don't know,5,Maybe,I would not bring it up if I thought it would affect my chances of getting the job.,Would introduce bias against me.,31.0,Male
More than 1000,1.0,No,I don't know,None did,No,Yes,No,No,8,Yes,Physical issues seem less taboo,Depends on the employer / client,30.0,Male
More than 1000,1.0,No,I don't know,Some did,"Yes, always",Yes,Yes,No,6,Maybe,Fear of discrimination,Stigma,58.0,Male
More than 1000,False,Yes,Yes,None did,I don't know,Yes,No,No,7,No,"Unless it requires special accomodation by them, it is none of their business","Same as above - unless it requires special accommodation by them, it is none of their business",50.0,Male
100-500,True,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,6,No,"I feel I would be silently discriminated against if I brought up any personal issues, regardless of the legality of that practice.","I feel I would be silently discriminated against if I brought up any personal issues, regardless of the legality of that practice.  Even moreso with mental health issues, than with physical issues.",41.0,Male
26-100,True,No,I don't know,None did,No,Yes,Don't Know,No,3,No,Fear of discrimination,Stigma,40.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,4,Yes,"Physical issues are easy, everyone believes in them. You can see them, imagine them. Mental issues on the other hand, not so much. My own parents don't believe they're true.","Mental issues aren't as easily ""proven"". An employer might not fully understand what it is, what it entails. He or she might interpret it wrongly, maybe think I'm not capable.",28.0,Male
1-5,True,No,Yes,None did,I don't know,Yes,Possibly,No,3,No,Not relevant to my ability to do my job ,Likely to be seen as a negative trait.,49.0,Identify as male
More than 1000,False,No,I don't know,None did,I don't know,Yes,Yes,Yes,9,No,I don't think this is relevant to an interview in any way unless it would hinder my ability to do the job.,This might impact my job performance but it is something I absolutely would not feel comfortable sharing. My medical history is not the business of an interviewer.,37.0,Male
More than 1000,1.0,No,I don't know,I don't know,I don't know,Yes,Possibly,I don't know,7,Maybe,I'm not into lying,I'm not into lying,36.0,m
6-25,False,Yes,Yes,None did,Sometimes,Yes,Yes,No,10,Yes,"My eyesight, in particular, is extremely relevant to my workflow. Treatment of that has been a top priority. ",I wod want to see how it is handled within the organization first. ,52.0,Male
More than 1000,False,Yes,I don't know,Some did,I don't know,Yes,No,I don't know,8,Yes,If any work environment adaptation is required,If any work environment adaptation is required,33.0,Male
More than 1000,1.0,No,I don't know,Some did,I don't know,Yes,No,I don't know,6,Maybe,"Not all physical health issues need to be discussed. Also, I’m not convinced it wouldn’t be used against me.","Again, could be used against me",54.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,No,No,7,No,Fear of discrimination,Stigma,38.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,9,Maybe,If I felt it was relevant ,If I felt it was relevant to the situation,64.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,No,No,1,No,"It’s hard enough to get employers to give you a chance at all, adding anything “out of the ordinary” like a chronic illness would likely ensure I’m discarded right away.",Same as above,40.0,Male
26-100,True,No,I don't know,None did,I don't know,Yes,Possibly,I don't know,4,Maybe,"As physical health issues are usually easier to see, sometimes it's hard to avoid talking about them.",I don't feel that I can run the risk of my mental health issues being held against me.,37.0,Male
More than 1000,False,I don't know,I don't know,None did,I don't know,Yes,Yes,No,7,Yes,"It is information they need to know, and in my case is obvious",It is information they need to know.,53.0,Female
6-25,True,No,I don't know,None did,I don't know,Yes,No,I don't know,5,Yes,Fear of discrimination,Stigma,55.0,male
6-25,True,Yes,Yes,None did,I don't know,Yes,Yes,Yes,10,Maybe,Because humans are big walking apes and have a brain that poorly judges things often.,"Because it's weird, and there hasn't been an established trust. Would you tell a girl on your first date you were bipolar and lost every relationship because of it? You can ask leading questions to find out if they respect people's personal time and needs.",30.0,Male
500-1000,False,No,I don't know,None did,I don't know,Yes,Yes,Yes,2,Yes,Fear of discrimination,Stigma,35.0,Male
More than 1000,False,I don't know,Yes,None did,I don't know,Yes,Possibly,Yes,6,Maybe,Might impact the outcome of the interview ,Might impact the outcome of the interview ,60.0,Male 
100-500,False,Yes,Yes,Some did,Sometimes,Yes,No,No,5,Maybe,Fear of discrimination,Stigma,34.0,female
More than 1000,False,No,I don't know,Some did,"Yes, always",Yes,Yes,Yes,2,No,Fear of discrimination,Stigma,35.0,Male
More than 1000,False,No,I don't know,None did,I don't know,Yes,Yes,Yes,2,Maybe,Depends on the issue and the extent I believed I would be discriminated against for it. I would bring up the couple weeks I need to recover from knee surgery,I like being employed,34.0,Male
26-100,True,No,Yes,None did,I don't know,Yes,No,Yes,0,Yes,It's more apparent and might affect expectations of my role in aforementioned company,Mental instability is a deal-breaker for potential new hires.,28.0,Male
26-100,True,No,I don't know,None did,No,Yes,Yes,Yes,5,No,I don't work in a field where my physical abilities should affect my work,Because my work is all brain work.,28.0,Woman
26-100,True,No,Yes,None did,"Yes, always",Yes,No,No,5,Yes,Fear of discrimination,Stigma,36.0,Male
6-25,True,No,No,None did,I don't know,Yes,No,I don't know,6,No,It can affect my likelihood of getting the job.,I may be seen as unfit for the role,24.0,Male
More than 1000,1.0,No,I don't know,Some did,I don't know,Yes,No,I don't know,3,Yes,If it needed some kind of accommodation.,Too much of a stigma.,50.0,Male
More than 1000,True,No,I don't know,Some did,I don't know,Yes,Possibly,I don't know,3,Maybe,It’s usually expected that would not prevent me from performing job duties ,"I strongly expect I would be rejected for the job, as they think I would not perform at required levels.",55.0,Male
26-100,True,No,Yes,None did,I don't know,Yes,Possibly,No,7,Yes,"I have a strong moral compass, and feel it would be dishonest to a new employer to keep anything back that may affect my performance. ",Being honest about anything that impacts my ability to work efficiently. ,32.0,Male
500-1000,True,Yes,Yes,None did,I don't know,Yes,Don't Know,I don't know,8,Yes,"If they can’t handle me at my worst, they don’t deserve me at my best.","If they can’t handle me at my worst, they don’t deserve me at my best.",33.0,Male
500-1000,True,No,I don't know,None did,I don't know,Yes,Yes,Yes,2,Maybe,"Depends on the issue, i.e., only if due to it I'd have special needs at work.","I'm still at a point where I'm uncomfortable discussing my mental health issues with others, much less in an interview environment.",30.0,Female
500-1000,True,No,Yes,None did,"Yes, always",Yes,No,Yes,5,No,Fear of discrimination,Stigma,30.0,Male
100-500,True,Yes,I don't know,None did,I don't know,Yes,No,I don't know,8,Yes,To settle any expectations from both sides,To settle any expectations from both sides,34.0,Male
100-500,True,No,I don't know,None did,I don't know,Yes,Possibly,Yes,8,Yes,"If it would interfere with my work or availability to work, then it’s important to know if the employer would accept that.",Depends on the impact it woould have in my ability to work.also there is some stigma.,36.0,Female
100-500,True,No,I don't know,None did,I don't know,Yes,Yes,Yes,8,No,"Bringing up such a topic would weaken my bargaining position, so I wouldn't do so.","Bringing up such a topic would weaken my bargaining position, so I wouldn't do so. Mental health has an additional stigma associated with it, so it would likely mean I wouldn't get hired at all.",30.0,Male
1-5,True,Yes,No,None did,I don't know,Yes,No,No,7,Yes,"In the end it would play a part on how I'm treated, so I'd be willing to disclose it from the get go.","Just as before, it would be a part of me, which affects how I work, so I'd rather disclose from the get go, instead of feeling anxiety of disclosing it when the issue is most pressing.",29.0,Male
500-1000,True,No,No,None did,I don't know,Yes,Possibly,Yes,6,No,Fear of discrimination,Stigma,34.0,M
100-500,True,No,No,Some did,Sometimes,Yes,No,No,5,Maybe,Fear of discrimination,"
",40.0,M
500-1000,True,No,I don't know,None did,I don't know,Yes,No,I don't know,5,No,Fear of discrimination,Stigma,31.0,Non binary
100-500,True,No,Yes,None did,"Yes, always",Yes,No,Yes,7,Maybe,Fear of discrimination,Stigma,27.0,Masculine
More than 1000,False,Yes,Yes,I don't know,I don't know,Yes,No,Yes,9,No,"Interview is for the job, about whether I can do the job... personal aspects can come up for discussion later, if hired.",Same as previous...,47.0,M
100-500,False,No,Yes,None did,I don't know,Yes,Possibly,Yes,8,No,Fear of discrimination,Stigma,24.0,Female
100-500,True,No,Yes,None did,I don't know,Yes,No,No,5,Maybe,Wouldn't want to jeopardize my application ,Wouldn't want to jeopardize my application ,36.0,Male
100-500,True,No,I don't know,None did,I don't know,Yes,No,I don't know,8,Yes,To alert if some preparations were needed,If could affect others,28.0,male
500-1000,True,Yes,I don't know,None did,I don't know,Yes,No,No,7,Maybe,"If I felt the issue would impact on my work I would be happy to share that information, otherwise i wouldn't feel any obligation to share",If the issue would have a significant impact on the way I were perceived or judged in the interview or the role then i would be happy to share. ,34.0,Male
100-500,True,No,I don't know,None did,I don't know,Yes,No,No,8,Maybe,Fear of discrimination,fewer chances of getting the job,28.0,Male
500-1000,True,No,I don't know,None did,I don't know,Yes,Possibly,Yes,9,Yes,It would be acceptable,I believe I would not be selected,36.0,M
100-500,True,I don't know,Yes,None did,I don't know,Yes,No,I don't know,7,Maybe,Depends on relevance and impact on the future work.,Depends on relevance and impact on the future work.,24.0,male
6-25,True,No,Yes,Some did,I don't know,Yes,Possibly,Yes,10,Maybe,Depends if it will impact my ability to perform the functions of the job,Discrimination,32.0,Cishet male
26-100,False,Yes,Yes,None did,I don't know,Yes,Yes,I don't know,6,Maybe,Fear of discrimination,Stigma,33.0,Male
100-500,True,I don't know,I don't know,Some did,I don't know,Yes,No,I don't know,7,Yes,"Physical disabilities are typically well-understood as being both a protected class of disability, as well as one for which the affected person is absolved of any personal blame. Put another way, no one blames a person for their physical disabilities (anymore); the same, unfortunately, is not true of mental disabilities.","See previous answer: depending on the type of mental illness (depression, for example), I would be worried about judgment or discrimination from my employer.",39.0,Male
More than 1000,False,No,I don't know,None did,I don't know,Yes,Yes,I don't know,5,Maybe,They could use it against me,They can use that to decide not to hire me,26.0,female
100-500,True,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,8,Maybe,Fear of discrimination,People with ADHD are not seen as productive or profitable employees. ,32.0,Female
26-100,True,Yes,Yes,None did,I don't know,Yes,Yes,I don't know,8,Maybe,Fear of discrimination,Stigma,42.0,Male
More than 1000,True,No,I don't know,None did,Sometimes,Yes,Yes,I don't know,1,No,Fear of discrimination,Stigma,41.0,M
100-500,True,Yes,I don't know,Some did,I don't know,Yes,Yes,Yes,10,No,"I worry it would have a negative impact on my job prospects.

General personality questions are asked, but I get the sense that talking in depth about mental health would be considered oversharing.",Job prospects,32.0,Male
More than 1000,False,No,I don't know,None did,I don't know,Yes,Don't Know,Yes,0,No,Liability ,Hurt interview,32.0,F
100-500,True,I don't know,I don't know,"Yes, they all did","Yes, always",Yes,Yes,Yes,4,No,I would try to avoid it unless absolutely necessary.,I would try to avoid it unless absolutely necessary.,31.0,Female
100-500,True,No,I don't know,None did,"Yes, always",Yes,Yes,Yes,9,No,I would worry it would prejudice them against me.,I would worry it would prejudice them against me.,34.0,Non-binary
More than 1000,True,Yes,I don't know,None did,I don't know,Yes,Possibly,Yes,1,Maybe,Fear of discrimination,Stigma,36.0,None
100-500,True,Yes,Yes,None did,I don't know,Yes,No,No,3,Yes,Fear of discrimination,Stigma,33.0,male
26-100,True,No,Yes,"Yes, they all did","Yes, always",Yes,Yes,Yes,10,No,loss of potential job,loss of potential job,30.0,male
26-100,True,No,I don't know,I don't know,"Yes, always",Yes,Yes,Yes,8,Maybe,"I wouldn't want to do so until I was offered the job. Unfortunately, I can't hide my hearing issue anymore. ",I wouldn't bring it up until I was offered the job and more likely not until after i was hired.,45.0,Female
More than 1000,True,Yes,I don't know,None did,I don't know,Yes,No,No,10,Yes,"To an extent, I'll talk about exercise and fitness and wellbeing, but if you are going to ask me questions about my diagnosis of anything or things of that nature, that is off limits. That's not something you need to know in an interview.","Similar vein, I will talk about some good aspects of how I think and how I work in my thinking. But I am not going to inform you if I have a mental health disorder in an interview, it's not needed.",30.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,2,Maybe,To avoid future difficulties,Fear of discrimination,48.0,Male
100-500,True,No,I don't know,None did,I don't know,Yes,Don't Know,I don't know,6,Maybe,Fear of discrimination,Stigma,29.0,Male
More than 1000,1.0,No,I don't know,None did,Sometimes,Yes,Yes,I don't know,8,Maybe,Fear of discrimination,I wouldn't want to work somewhere in which bringing it up/speaking about it would be an issue.,35.0,Female-identified
100-500,True,No,I don't know,I don't know,I don't know,Yes,Yes,I don't know,5,Maybe,Depends on the Condition and the employer,To much of a Stigma,41.0,Male
26-100,False,No,Yes,Some did,"Yes, always",Yes,No,Yes,10,Maybe,"I would bring up things that directly impact my work and work environment (things like stairs vs elevator, lighting, etc) but I view all other physical health issues as my personal business and unrelated to my work.","I manage my anxiety with medication and it very rarely impacts my work. I prefer to discuss it if it comes up as necessary, rather than warn potential employers about something they may never see.",27.0,F
6-25,True,No,Yes,Some did,Sometimes,Yes,Yes,I don't know,9,Yes,Fear of discrimination,Stigma,42.0,Male
100-500,True,No,I don't know,Some did,I don't know,Yes,Possibly,Yes,8,Maybe,Fear of discrimination,Stigma,32.0,male
100-500,True,I don't know,I don't know,None did,I don't know,Yes,No,No,7,Maybe,Only if I thought it would pertain to getting my work done.,I would be worried about losing the job.,32.0,Male
1-5,True,No,Yes,Some did,I don't know,Yes,Yes,Yes,8,Yes,It could impact how well I can access the office or do my work,"If they asked I’d probably tell them, but if I don’t like to bring up my mental health unless it’s clearly causing a problem",20.0,Woman
More than 1000,1.0,No,I don't know,None did,No,Yes,Yes,Yes,8,Maybe,Fear of discrimination,Stigma,24.0,woman
500-1000,False,Yes,I don't know,None did,I don't know,Yes,No,No,6,No,I would be concerned that would be a check mark in the 'do not hire' column.,Not a good first impression. ,0.0,male
26-100,True,No,I don't know,None did,I don't know,Yes,No,No,7,Maybe,If it wasn't relevant to my ability to do the job I may not mention it.,Might not be worth the risk if I felt I could perform the job.,38.0,Male
6-25,True,No,I don't know,None did,I don't know,Yes,Yes,I don't know,6,No,Not sure how it would be relevant. ,Wouldn’t want to disqualify myself from the position for something I can typically keep under control.,31.0,Male
